Real Madrid,Blanco,España,Santiago Bernabéu,58,62,20
Barcelona,Azulgrana,España,Camp Nou,56,60,22
Atlético de Madrid,Rojo y Blanco,España,Metropolitano,54,45,25
Sevilla,Blanco y Rojo,España,Ramón Sánchez-Pizjuán,52,42,30
Valencia,Naranja y Blanco,España,Mestalla,50,40,28
Villarreal,Amarillo,España,Estadio de la Cerámica,48,38,27
Real Sociedad,Azul y Blanco,España,Anoeta,46,35,26
Athletic Bilbao,Rojo y Blanco,España,San Mamés,44,33,29
Getafe,Azul,España,Coliseum Alfonso Pérez,42,30,31
Real Betis,Verde y Blanco,España,Benito Villamarín,40,36,32
Celta de Vigo,Celeste,España,Balaídos,38,34,35
Espanyol,Azul y Blanco,España,RCDE Stadium,36,32,37
Mallorca,Rojo,España,Visit Mallorca Estadi,34,28,38
Osasuna,Rojo y Azul,España,El Sadar,32,27,40
Alavés,Azul y Blanco,España,Mendizorrotza,30,25,42
Granada,Rojo y Blanco Horizontal,España,Nuevo LosCármenes,28,22,45
Cádiz,Amarillo y Azul,España,Ramón de Carranza,26,20,48
Levante,Azul y Granate,España,Ciutat de València,24,18,50
Huesca,Azul y Rojo,España,El Alcoraz,22,17,51
Rayo Vallecano,Rojo y Blanco,España,Vallecas,20,15,55
